Time,Signal,Label
63.264,-0.100701123,AORTICSCLEROCIS
63.268,-0.099427252,AORTICSCLEROCIS
63.272,-0.034141363,AORTICSCLEROCIS
63.276,0.013151099,AORTICSCLEROCIS
63.28,0.039424688,AORTICSCLEROCIS
63.284,0.074456141,AORTICSCLEROCIS
63.288,0.190696871,AORTICSCLEROCIS
63.292,0.246747195,AORTICSCLEROCIS
63.296,0.13974203,AORTICSCLEROCIS
63.3,-0.062962694,AORTICSCLEROCIS
63.304,-0.155955278,AORTICSCLEROCIS
63.308,-0.117898382,AORTICSCLEROCIS
63.312,-0.066943541,AORTICSCLEROCIS
63.316,-0.011052451,AORTICSCLEROCIS
63.32,0.084010174,AORTICSCLEROCIS
63.324,0.102481303,AORTICSCLEROCIS
63.328,0.025093639,AORTICSCLEROCIS
63.332,0.033055333,AORTICSCLEROCIS
63.336,0.058373519,AORTICSCLEROCIS
63.34,0.012991865,AORTICSCLEROCIS
63.344,-0.062007291,AORTICSCLEROCIS
63.348,-0.063440396,AORTICSCLEROCIS
63.352,0.03496614,AORTICSCLEROCIS
63.356,0.054870374,AORTICSCLEROCIS
63.36,-0.000861483,AORTICSCLEROCIS
63.364,-0.021402653,AORTICSCLEROCIS
63.368,-0.035892935,AORTICSCLEROCIS
63.372,-0.039236847,AORTICSCLEROCIS
63.376,-0.028249709,AORTICSCLEROCIS
63.38,-0.016466402,AORTICSCLEROCIS
63.384,0.031940696,AORTICSCLEROCIS
63.388,0.080347794,AORTICSCLEROCIS
63.392,-0.004523862,AORTICSCLEROCIS
63.396,-0.102930397,AORTICSCLEROCIS
63.4,-0.10754818,AORTICSCLEROCIS
63.404,-0.047676242,AORTICSCLEROCIS
63.408,0.035125374,AORTICSCLEROCIS
63.412,0.070634528,AORTICSCLEROCIS
63.416,0.036399245,AORTICSCLEROCIS
63.42,-0.044332331,AORTICSCLEROCIS
63.424,-0.023472693,AORTICSCLEROCIS
63.428,0.015061905,AORTICSCLEROCIS
63.432,0.010284889,AORTICSCLEROCIS
63.436,0.038946987,AORTICSCLEROCIS
63.44,0.035762309,AORTICSCLEROCIS
63.444,-0.144012737,AORTICSCLEROCIS
63.448,-0.327131695,AORTICSCLEROCIS
63.452,-0.127930116,AORTICSCLEROCIS
63.456,0.263944454,AORTICSCLEROCIS
63.46,0.417127443,AORTICSCLEROCIS
63.464,0.315854698,AORTICSCLEROCIS
63.468,0.010921824,AORTICSCLEROCIS
63.472,-0.318055364,AORTICSCLEROCIS
63.476,-0.275062218,AORTICSCLEROCIS
63.48,-0.024268862,AORTICSCLEROCIS
63.484,0.099933561,AORTICSCLEROCIS
63.488,0.121907836,AORTICSCLEROCIS
63.492,0.026526744,AORTICSCLEROCIS
63.496,-0.084459268,AORTICSCLEROCIS
63.5,-0.08621084,AORTICSCLEROCIS
63.504,-0.056593339,AORTICSCLEROCIS
63.508,0.059169689,AORTICSCLEROCIS
63.512,0.175728886,AORTICSCLEROCIS
63.516,0.238626268,AORTICSCLEROCIS
63.52,0.211397275,AORTICSCLEROCIS
63.524,0.102162836,AORTICSCLEROCIS
63.528,-0.008823176,AORTICSCLEROCIS
63.532,-0.083981566,AORTICSCLEROCIS
63.536,-0.137324915,AORTICSCLEROCIS
63.54,-0.114713704,AORTICSCLEROCIS
63.544,-0.130796326,AORTICSCLEROCIS
63.548,-0.217419555,AORTICSCLEROCIS
63.552,-0.172356367,AORTICSCLEROCIS
63.556,-0.118057616,AORTICSCLEROCIS
63.56,-0.101178825,AORTICSCLEROCIS
63.564,-0.096561042,AORTICSCLEROCIS
63.568,-0.002613055,AORTICSCLEROCIS
63.572,0.077163117,AORTICSCLEROCIS
63.576,0.083532472,AORTICSCLEROCIS
63.58,0.104232876,AORTICSCLEROCIS
63.584,0.102481303,AORTICSCLEROCIS
63.588,0.100888964,AORTICSCLEROCIS
63.592,0.09945586,AORTICSCLEROCIS
63.596,0.095634247,AORTICSCLEROCIS
63.6,0.091494166,AORTICSCLEROCIS
63.604,0.019838921,AORTICSCLEROCIS
63.608,-0.016147935,AORTICSCLEROCIS
63.612,-0.021084185,AORTICSCLEROCIS
63.616,-0.042580758,AORTICSCLEROCIS
63.62,-0.018058741,AORTICSCLEROCIS
63.624,0.014584203,AORTICSCLEROCIS
63.628,0.00662251,AORTICSCLEROCIS
63.632,0.021272026,AORTICSCLEROCIS
63.636,-0.000543015,AORTICSCLEROCIS
63.64,-0.066306606,AORTICSCLEROCIS
63.644,-0.069650517,AORTICSCLEROCIS
63.648,-0.069650517,AORTICSCLEROCIS
63.652,-0.050383218,AORTICSCLEROCIS
63.656,0.024934405,AORTICSCLEROCIS
63.66,0.027004446,AORTICSCLEROCIS
63.664,-0.036529871,AORTICSCLEROCIS
63.668,-0.021243419,AORTICSCLEROCIS
63.672,0.001527026,AORTICSCLEROCIS
63.676,-0.004842329,AORTICSCLEROCIS
63.68,-0.011370918,AORTICSCLEROCIS
63.684,-0.024428096,AORTICSCLEROCIS
63.688,-0.024268862,AORTICSCLEROCIS
63.692,0.069997592,AORTICSCLEROCIS
63.696,0.168404128,AORTICSCLEROCIS
63.7,0.112831505,AORTICSCLEROCIS
63.704,0.00296013,AORTICSCLEROCIS
63.708,-0.048631645,AORTICSCLEROCIS
